Supermercado,Semana,Fecha,Marca,Descripcion,Promo,Precio,Precio2,Imagen,Disponibilidad,Link
Lider,40,07-10-2023,Magistral,"Lavalozas Ultra Pureza Activa Concentrado, 480 ml",$4.090,,,,,https://www.lider.cl/supermercado/product/sku/1003151/magistral-lavalozas-ultra-pureza-activa-concentrado-480-ml
Lider,40,07-10-2023,Freemet,"Lavaloza Freemet Mandarina, 1 L",$4.850,$5.690,,,,https://www.lider.cl/supermercado/product/sku/1341720/freemet-lavaloza-freemet-mandarina-1-l
Lider,40,07-10-2023,Virutex,"Lavaloza Ecológico, 500 ml",$1.690,,,,,https://www.lider.cl/supermercado/product/sku/1341563/virutex-lavaloza-ecologico-500-ml
Lider,40,07-10-2023,Cascade,"Platinum Lavavajilas En Capsulas, 14 Un",$8.390,,,,,https://www.lider.cl/supermercado/product/sku/4445030/cascade-platinum-lavavajilas-en-capsulas-14-un
Lider,40,07-10-2023,Magistral,"Lavalozas Ultra Pureza Activa Concentrado, 280 ml",$2.690,,,,,https://www.lider.cl/supermercado/product/sku/1003149/magistral-lavalozas-ultra-pureza-activa-concentrado-280-ml
Lider,40,07-10-2023,Freemet,"Lavalozas Freemet Vidrio Mandarina, 300 ml",$3.450,,,,,https://www.lider.cl/supermercado/product/sku/1341716/freemet-lavalozas-freemet-vidrio-mandarina-300-ml
Lider,40,07-10-2023,Freemet,"Lavalozas Freemet Vidrio Aloe Vera, 300 ml",$3.450,,,,,https://www.lider.cl/supermercado/product/sku/1341714/freemet-lavalozas-freemet-vidrio-aloe-vera-300-ml
Lider,40,07-10-2023,Dawn,"Power Wash Lavalozas Original En Spray, 473 ml",$8.790,,,https://images.lider.cl/wmtcl?source=url[file:/productos/4497236a.jpg]&scale=size[180x180]&sink,,https://www.lider.cl/supermercado/product/sku/4497236/dawn-power-wash-lavalozas-original-en-spray-473-ml
Lider,40,07-10-2023,Great Value,"Lavavajillas Abrillantador, 250 ml",$3.990,,,https://images.lider.cl/wmtcl?source=url[file:/productos/1399579a.jpg]&scale=size[180x180]&sink,,https://www.lider.cl/supermercado/product/sku/1399579/great-value-lavavajillas-abrillantador-250-ml
Lider,40,07-10-2023,Virutex,"Pack Limpieza Más Consciente, 3 Un",$5.190,,,https://images.lider.cl/wmtcl?source=url[file:/productos/1341561a.jpg]&scale=size[180x180]&sink,,https://www.lider.cl/supermercado/product/sku/1341561/virutex-pack-limpieza-mas-consciente-3-un
Lider,40,07-10-2023,Magistral,"Pack Lavalozas Magistral Limón Concentrado, 2 Un x 500 ml …",$5.190,$6.190,,https://images.lider.cl/wmtcl?source=url[file:/productos/1354201a.jpg]&scale=size[180x180]&sink,,https://www.lider.cl/supermercado/product/sku/1354201/magistral-pack-lavalozas-magistral-limon-concentrado-2-un-x-500-ml-cu
Lider,40,07-10-2023,Great Value,"Lavavajillas En Polvo, 2120 g",$9.490,,,,,https://www.lider.cl/supermercado/product/sku/1399581/great-value-lavavajillas-en-polvo-2120-g
